email,username,password,is_deleted
user1@test.com,KimMinsoo,$2a$10$7EqJtq98hPqEX7fNZaFWoOhi5Zp8oG9yZtM6xUu6YvJzN6zG6nX2K,0
user2@test.com,LeeSeoyeon,$2a$10$7EqJtq98hPqEX7fNZaFWoOhi5Zp8oG9yZtM6xUu6YvJzN6zG6nX2K,0
user3@test.com,ParkJihoon,$2a$10$7EqJtq98hPqEX7fNZaFWoOhi5Zp8oG9yZtM6xUu6YvJzN6zG6nX2K,0
user4@test.com,ChoiHyunwoo,$2a$10$7EqJtq98hPqEX7fNZaFWoOhi5Zp8oG9yZtM6xUu6YvJzN6zG6nX2K,0
user5@test.com,JungSujin,$2a$10$7EqJtq98hPqEX7fNZaFWoOhi5Zp8oG9yZtM6xUu6YvJzN6zG6nX2K,0
user6@test.com,KangDoyoon,$2a$10$7EqJtq98hPqEX7fNZaFWoOhi5Zp8oG9yZtM6xUu6YvJzN6zG6nX2K,0
user7@test.com,YoonYerin,$2a$10$7EqJtq98hPqEX7fNZaFWoOhi5Zp8oG9yZtM6xUu6YvJzN6zG6nX2K,0
user8@test.com,LimHajun,$2a$10$7EqJtq98hPqEX7fNZaFWoOhi5Zp8oG9yZtM6xUu6YvJzN6zG6nX2K,0
user9@test.com,OhJiwoo,$2a$10$7EqJtq98hPqEX7fNZaFWoOhi5Zp8oG9yZtM6xUu6YvJzN6zG6nX2K,0
user10@test.com,HanSeojun,$2a$10$7EqJtq98hPqEX7fNZaFWoOhi5Zp8oG9yZtM6xUu6YvJzN6zG6nX2K,0
user11@test.com,ShinMinjae,$2a$10$7EqJtq98hPqEX7fNZaFWoOhi5Zp8oG9yZtM6xUu6YvJzN6zG6nX2K,0
user12@test.com,ChoEunbyul,$2a$10$7EqJtq98hPqEX7fNZaFWoOhi5Zp8oG9yZtM6xUu6YvJzN6zG6nX2K,0
user13@test.com,BaeSiyoon,$2a$10$7EqJtq98hPqEX7fNZaFWoOhi5Zp8oG9yZtM6xUu6YvJzN6zG6nX2K,0
user14@test.com,RyuTaeyang,$2a$10$7EqJtq98hPqEX7fNZaFWoOhi5Zp8oG9yZtM6xUu6YvJzN6zG6nX2K,0
user15@test.com,ChaYujin,$2a$10$7EqJtq98hPqEX7fNZaFWoOhi5Zp8oG9yZtM6xUu6YvJzN6zG6nX2K,0
user16@test.com,NohDaeun,$2a$10$7EqJtq98hPqEX7fNZaFWoOhi5Zp8oG9yZtM6xUu6YvJzN6zG6nX2K,0
user17@test.com,MoonJaemin,$2a$10$7EqJtq98hPqEX7fNZaFWoOhi5Zp8oG9yZtM6xUu6YvJzN6zG6nX2K,0
user18@test.com,BaekSoyul,$2a$10$7EqJtq98hPqEX7fNZaFWoOhi5Zp8oG9yZtM6xUu6YvJzN6zG6nX2K,0
user19@test.com,SeoWoojin,$2a$10$7EqJtq98hPqEX7fNZaFWoOhi5Zp8oG9yZtM6xUu6YvJzN6zG6nX2K,0
user20@test.com,HongChaewon,$2a$10$7EqJtq98hPqEX7fNZaFWoOhi5Zp8oG9yZtM6xUu6YvJzN6zG6nX2K,0
user21@test.com,KimMinsoo,$2a$10$7EqJtq98hPqEX7fNZaFWoOhi5Zp8oG9yZtM6xUu6YvJzN6zG6nX2K,0
user22@test.com,LeeSeoyeon,$2a$10$7EqJtq98hPqEX7fNZaFWoOhi5Zp8oG9yZtM6xUu6YvJzN6zG6nX2K,0
user23@test.com,ParkJihoon,$2a$10$7EqJtq98hPqEX7fNZaFWoOhi5Zp8oG9yZtM6xUu6YvJzN6zG6nX2K,0
user24@test.com,ChoiHyunwoo,$2a$10$7EqJtq98hPqEX7fNZaFWoOhi5Zp8oG9yZtM6xUu6YvJzN6zG6nX2K,0
user25@test.com,JungSujin,$2a$10$7EqJtq98hPqEX7fNZaFWoOhi5Zp8oG9yZtM6xUu6YvJzN6zG6nX2K,0
